age_group,job_title,annual_salary_usd,compensation_usd,currency,country,state,city,overall_exp,field_exp,degree,gender,job_category,career_level
25-34,Senior Accounting Analyst,95000.0,9000.0,USD,United States,Georgia,Atlanta,15.5,9.0,College,Woman,Analytics,Lead/Executive
35-44,Principal Quality Engineer,135504.0,43000.0,USD,United States,California,Thousand Oaks,15.5,15.5,College,Man,Engineering & Development,Lead/Executive
25-34,Account Specialist,54000.0,1000.0,USD,United States,Pennsylvania,Pipersville,15.5,3.0,College,Woman,Accountant & Finance,Lead/Executive
25-34,Account Specialist,54000.0,1000.0,USD,United States,Pennsylvania,Pipersville,15.5,3.0,College,Woman,Accountant & Finance,Lead/Executive
25-34,Validation Engineer,130000.0,0.0,USD,United States,Massachusetts,Boston,9.0,9.0,College,Woman,Engineering & Development,Senior
25-34,Senior Product Manager,140000.0,14000.0,USD,United States,Massachusetts,Cambridge,9.0,3.0,College,Woman,Management,Senior
25-34,Account Manager,118000.0,136000.0,USD,United States,Virginia,Herndon,6.0,3.0,College,Woman,Management,Senior
35-44,Partner,200000.0,100000.0,USD,United States,Alaska,Anchorage,15.5,15.5,Professional Degree,Woman,HR,Lead/Executive
25-34,Career Development Specialist,38000.0,0.0,USD,United States,New Mexico,Albuquerque,15.5,3.0,College,Woman,Specialist,Lead/Executive
35-44,Dining Director,65000.0,3000.0,USD,United States,Illinois,Naperville,15.5,15.5,College,Woman,Management,Lead/Executive
25-34,Senior Analyst Of Program Research,72000.0,0.0,USD,United States,New York,New York,6.0,3.0,College,Woman,Analytics,Senior
35-44,Legal Assistant,43000.0,0.0,USD,United States,North Carolina,Durham,15.5,15.5,Professional Degree,Woman,Legal Services,Lead/Executive
35-44,Administrative Technician,81000.0,0.0,USD,United States,California,Tahoe City,15.5,15.5,College,Woman,Administrative & Operations,Lead/Executive
35-44,Manager Of Accreditation Services,73000.0,0.0,USD,United States,Nebraska,Omaha,25.5,15.5,Masters,Woman,Management,Lead/Executive
25-34,Speech Language Pathologist,60000.0,0.0,USD,United States,Florida,Daytona Beach,0.5,3.0,Masters,Woman,Healthcare,Entry Level
25-34,Technical Writer Lead,93000.0,0.0,USD,United States,Colorado,Colorado Springs,15.5,15.5,College,Woman,Creative & Media,Lead/Executive
25-34,It Manager,81120.0,0.0,USD,United States,Arizona,Tucson,15.5,9.0,College,Woman,Management,Lead/Executive
35-44,Media Director,165000.0,80000.0,USD,United States,New York,New York,15.5,15.5,College,Woman,Management,Lead/Executive
25-34,Linux Systems Administrator,79200.0,0.0,USD,United States,Washington,Issaquah,6.0,3.0,College,Woman,Administrative & Operations,Senior
35-44,Program Manager,145000.0,29000.0,USD,United States,Texas,Houston,15.5,15.5,Masters,Woman,Management,Lead/Executive
25-34,Digital Communications Manager,87500.0,0.0,USD,United States,Virginia,Sterling,9.0,9.0,Masters,Woman,Management,Senior
35-44,Energy Performance Expert,91000.0,9000.0,USD,United States,Virginia,Richmond,15.5,15.5,Masters,Woman,Unclassifiable,Lead/Executive
45-54,Project Manager,126000.0,0.0,USD,United States,Missouri,St Louis,25.5,15.5,Masters,Woman,Management,Lead/Executive
35-44,Us Navy Lieutenant Commander,120000.0,0.0,USD,United States,California,San Diego,9.0,9.0,Masters,Woman,Social Services,Senior
25-34,Teacher,63500.0,3000.0,USD,United States,Minnesota,Eden Prairie,9.0,6.0,Masters,Woman,Education & Training,Senior
